COMMENTS;SHELF;PN;DESC;QTY;;COND;SN;TAG INFO;TAG INFO;TAG DATE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3024559;SEAT-CHECK VALVE;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3017444;TRAY-OIL ACCESSORY GEARBOX;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;01/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;MS9194-04;ELBOW;2;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3011204;TUBE-NO.3 BRG PRESS OIL;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;MS9314-03;CAP;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;22/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3002149;TUBE TRANSFER .974X.990;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3008785;GEAR-SPUR;2;EA;OH;N/A;Atlantic Turbine TCCA 24-0078;TCCA 24-0078;November 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3013222;PLATE;2;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3012536;ROD-INTERNALLY THDED;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3024567;VALVE-BY PASS;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3012516;SEAT - PRESSURE RELIEF VALVE SPRING;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3020904;GUIDE;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3013143;NOZZLE OIL 2ND STG REDN;2;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;15/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3004192;NUT-SPANNER;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3003974;TUBE-TRANSFER;2;EA;OH;NSN;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3011426;NOZZLE-OIL;1;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHELF C-3;BOX-2;3004085;CARRIER OIL SEAL;2;EA;OH;N/A;DALLAS AIRMOTIVE 8130;FAA 8130;21/11/2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
