AC_Type,MPN,DESIGNATION,ATA,CAPABILITY,PMA,DOA,DER,Code_OEM,Design_OEM
A330,822-1710-213,TRANSCEIVER WEATHER RADAR,34,"EASA, FAA",,,,4V792,ROCKWELL
A330,822-1710-214,TRANSCEIVER WEATHER RADAR,34,"EASA, FAA",,,,4V792,ROCKWELL
A330,822-1821-430,MULTI MODE RECEIVER,34,"EASA, FAA",,,,4V792,ROCKWELL
A330,8410B1-101-105,CAMERA CKPT DOOR_GRISE,23,"EASA, FAA, CAAC",,,,59885,ROSEMOUNT
A330,8410B1-104-105,CAMERA,23,"EASA, FAA, CAAC",,,,59885,ROSEMOUNT
A330,8410B2-1-90,CAMERA PAX DOOR_GRISE,23,"EASA, FAA, CAAC",,,,59885,ROSEMOUNT
A330,8410B2-4-90,AREA CAMERA_BEIGE,23,"EASA, FAA, CAAC",,,,59885,ROSEMOUNT
A330,8420B1-101,CDSS MONITOR,23,"EASA, FAA, CAAC",,X,,59885,ROSEMOUNT
A330,8420B1-201,CDSS MONITOR,23,"EASA, FAA, CAAC",,X,,59885,ROSEMOUNT
A330,8420B1-301,CDSS MONITOR,23,"EASA, FAA",,X,,59885,ROSEMOUNT
A330,84333-00-0304,SLAT FLAP CONTROL CPTR,27,"EASA, FAA",,,,D4829,DIEHL
A330,84333-00-0305,SLAT FLAP CONTROL CPTR,27,"EASA, FAA",,,,D4829,DIEHL
A330,8450B3,CDSS HINGE ASSY,23,"EASA, FAA, CAAC",,,,59885,ROSEMOUNT
A330,8450B5,HINGE ASSY-CDDS,23,"EASA, FAA, CAAC",,,,59885,ROSEMOUNT
A330,848354,"PUMP-HYDRAULIC,EDP",29,"EASA, FAA, CAAC",X,,,62983,EATON
A330,86500-109,WATER VALVE AMDT B,38,"EASA, FAA, CAAC",X,X,,D1227,AOA APPARAT
A330,86500-109AMDTB,WATER VALVE AMDT B,38,"EASA, FAA, CAAC",X,X,,D1227,AOA APPARAT
A330,86500-109AMDTC,WATER VALVE AMDT C,38,"EASA, FAA, CAAC",X,X,,D1227,AOA APPARAT
A330,86600-103,FLUSH,38,"EASA, FAA",X,X,,D1227,AOA APPARAT
A330,8-678-03,PROXIMITY SWITCH CONTROL,52,"EASA, FAA, CAAC",,,,08748,ELDEC
A330,8-695-01,SENSOR,52,"EASA, FAA, CAAC",,,,08748,ELDEC
A330,87292337V04L12,FLIGHT CTRL DATA CONCENTR,27,"EASA, FAA, CAAC",,,,F9111,THALES
A330,87292337V04L13,FLIGHT CRTL DATA CONCENTR,27,"EASA, FAA, CAAC",,,,F9111,THALES
A330,87292337V04L14,FLIGHT CRTL DATA CONCENTR,27,"EASA, FAA, CAAC",,,,F9111,THALES
A330,87292337V04M02,FLIGHT CTRL DATA CONCENTR,27,"EASA, FAA, CAAC",,,,F9111,THALES
A330,87292337V04M04,FLIGHT CTRL DATA CONCENTR,27,"EASA, FAA, CAAC",,,,F9111,THALES
A330,89-01-07000,HANDSET COCKPIT - ONLY -,23,"EASA, FAA, CAAC",,,,D9240,HOLMBERG
A330,89-01-07020,HANDSET COCKPIT,23,"EASA, FAA, CAAC",,,,D9240,HOLMBERG
A330,89-01-07032,HANDSET-CABIN,23,"EASA, FAA, CAAC",,,,D9240,HOLMBERG
A330,89-01-07035,HANDSET-CABIN,23,"EASA, FAA, CAAC",,,,D9240,HOLMBERG
A330,89-01-07042,HANDSET-CABIN,23,"EASA, FAA, CAAC",,,,D9240,HOLMBERG
A330,89-01-07045,HANDSET,23,"EASA, FAA, CAAC",,,,D9240,HOLMBERG
A330,89-01-07260,HANDSET-COCKPIT,23,"EASA, FAA, CAAC",,,,D9240,HOLMBERG
A330,89-01-17042,HANDSET CABIN,23,"EASA, FAA, CAAC",,,,D9240,HOLMBERG
A330,891511-14,BOTTLE-OXYGEN,35,"EASA, FAA, CAAC",,,,53655,AVOX
A330,8-933-01,PROXIMITY SENSOR FSIP,32,"EASA, FAA, CAAC",,,,08748,ELDEC
A330,89794015,BOTTLE-OXYGEN,35,"EASA, FAA, CAAC",,,,53655,AVOX
A330,89794077,BOTTLE-OXYGEN,35,"EASA, FAA, CAAC",,,,53655,AVOX
A330,899-0850-002,RADIO MANAGEMENT PANEL,23,"EASA, FAA",,X,,F9111,THALES
A330,899-0850-004,RADIO MANAGEMENT PANEL,23,"EASA, FAA",,,,F9111,THALES
A330,8ES005045-00,ANTICOLLISION LIGHT PSU,33,"EASA, FAA, CAAC",,X,,D8095,GOODRICH
A330,8ES005304-00,ANTICOLLISION LIGHT PSU,33,"EASA, FAA",,X,,D8095,GOODRICH
A330,8ES005309-00,ANTICOLLISION LIGHT PSU,33,"EASA, FAA",,X,,D8095,GOODRICH
A330,8ES006501-00,BLOC ECLAIRAGE PLAFOND,33,"EASA, FAA, CAAC",,,,D8095,GOODRICH
A330,8ES006501-10,RPLU READING LIGHT POWER,33,"EASA, FAA, CAAC",,,,D8095,GOODRICH
A330,8ES006502-00,BLOC ECLAIRAGE PLAFOND,25,"EASA, FAA, CAAC",,,,D8095,GOODRICH
A330,8ES006502-10,BLOC ECLAIRAGE PLAFOND,33,"EASA, FAA, CAAC",,,,D8095,GOODRICH
A330,8ES006503-00,BLOC ECLAIRAGE PLAFOND,33,"EASA, FAA, CAAC",,,,D8095,GOODRICH
A330,8ES403703-02,TRANSFO REAR,33,"EASA, FAA, CAAC",,,,D8095,GOODRICH
A330,8ES455012-00,ANTICOLLISION LIGHT PSU,33,"EASA, FAA, CAAC",,X,,D8095,GOODRICH
A330,8ES455012-06,ANTICOLLISION LIGHT PSU,33,"EASA, FAA, CAAC",,X,,D8095,GOODRICH
A330,8TJ167GHH1,FUEL FLOW TRANSMITTER,73,"EASA, FAA, CAAC",,,,,
