Fld_Company_ID;Company_Old_Id;Fld_Company_Name;Fld_Company_Rating_ID;delete
1347;111;AIR DOLOMITI SPA - Linee Aeree Regionali Europee;;FAUX
4473;;air dynasty;;FAUX
4957;;AIR EAGLE AVIATION;;FAUX
1418;2136405044;Air Emilia;;FAUX
1243;915;AIR ENGIADINA - Swiss Jet;;FAUX
1196;32;AIR ENTREPRISE;;FAUX
2116;;Air Europa;;FAUX
1204;51;AIR EXEL;;FAUX
4608;;Air Express;;FAUX
409;932;AIR FIJI;;FAUX
3396;;Air Finland Ltd;;FAUX
3124;;Air Flow International;;FAUX
4162;;Air Four;;FAUX
1501;249;AIR FRANCE;;FAUX
2855;;AIR FRANCE Industries;;FAUX
838;611;AIR GABON;;FAUX
4768;;Air Gazela d.o.o.;;FAUX
2995;2136405320;"AIR GLOBUS - BIURO PODROZY ""GLOBUS""";;FAUX
4669;;Air Go Airlines;;FAUX
385;582;AIR GREECE;;FAUX
3093;;AIR GREENLAND A/S;;FAUX
1495;130;AIR GUADELOUPE;;FAUX
3374;;Air Guinee;;FAUX
396;294;AIR GUYANE;;FAUX
3928;;AIR Holding;;FAUX
2258;;AIR HORIZONS;;FAUX
2107;;Air Iceland - Flugfelag;;FAUX
1698;1489;AIR INDIA;;FAUX
9;2004418073;Air Industria s.p.a.;;FAUX
3794;;Air Industries;;FAUX
1016;612;AIR INTER GABON;;FAUX
417;977;AIR INUIT;;FAUX
883;-1421375156;Air Italy;;FAUX
4593;;Air Italy Polska Sp. z o.o.;;FAUX
1785;;Air Ivoire;;FAUX
2054;;Air Jamaica;;FAUX
2775;;Air Jamaica Express;;FAUX
1502;250;Air Jet Lda. (Angola);;FAUX
3857;;AIR KAZAKHSTAN;;FAUX
419;979;Air Kenya Aviation;;FAUX
318;2136404935;Air Kiribati;;FAUX
1578;1194;AIR LAB;;FAUX
2039;;AIR LAND TURBINE;;FAUX
2866;;AIR LB-Amphenol (MF);;FAUX
1298;1466;AIR LIBERTE siege social;;FAUX
4211;;air lift;;FAUX
101;-204565252;AIR LIQUIDE;;FAUX
1773;1207;AIR LITHUANIA;;FAUX
1143;-274691181;Air Lithuania *;;FAUX
1503;251;AIR LITTORAL IND.;;FAUX
526;1029232707;Air Logic - Istamboul;;FAUX
1747;1516;Air Logic - USA;;FAUX
69;2136405134;Air Luxor;;FAUX
2451;;AIR MACAU;;FAUX
839;782;AIR MADAGASCAR;;FAUX
482;2136405018;AIR MADAGASCAR * (Purch. Dpt);;FAUX
3226;;AIR MADRID;;FAUX
3204;;Air Maintenance Estonian;;FAUX
843;799;Air Malawi Limited;;FAUX
4579;;AIR MALI;;FAUX
2578;;Air Malta;;FAUX
1034;713;AIR MANDALAY;;FAUX
404;875;AIR MANITOBA;;FAUX
1026;684;AIR MARSHALL ISLANDS;;FAUX
1504;252;AIR MARTINIQUE;;FAUX
841;784;AIR MAURITANIE;;FAUX
1497;132;AIR MAURITIUS;;FAUX
